code,sample,ng
voc1,1,4.410018945
voc2,1,1.327014459
voc3,1,0.51131961
voc4,1,1.376270526
voc5,1,12.66255326
voc6,1,0
voc7,1,1.29374078
voc8,1,0.893255558
voc9,1,17.44354871
voc10,1,0.602799015
voc11,1,2.157868017
voc12,1,9.079865516
voc13,1,1.543348784
voc14,1,1.119827476
voc15,1,8.375472306
voc16,1,4.019091406
voc17,1,1.114648775
voc1,2,1.186749664
voc2,2,0.198172431
voc3,2,0.082910543
voc4,2,0.35070304
voc5,2,4.256264728
voc6,2,0.063708436
voc7,2,0.316821287
voc8,2,0.292687868
voc9,2,3.482056042
voc10,2,0.121533121
voc11,2,0.496344491
voc12,2,2.058100659
voc13,2,0.410404726
voc14,2,3.053041116
voc15,2,5.927771645
voc16,2,1.272257346
voc17,2,0.391477666
voc1,3,0.171996163
voc2,3,0.118604991
voc3,3,0.053618589
voc4,3,0.059394671
voc5,3,1.541409296
voc6,3,0.026341428
voc7,3,0.414542505
voc8,3,0.061737214
voc9,3,1.619362606
voc10,3,0.057236101
voc11,3,0.220050221
voc12,3,0.886307512
voc13,3,0.197263595
voc14,3,0.176689561
voc15,3,0.570291974
voc16,3,0.682409922
voc17,3,0.199508296
voc1,4,4.088573699
voc2,4,0.799507259
voc3,4,0.849438137
voc4,4,3.51261425
voc5,4,7.373797628
voc6,4,0.851321294
voc7,4,1.270075217
voc8,4,0.841455583
voc9,4,6.862761746
voc10,4,0.337662055
voc11,4,3.541746946
voc12,4,4.857163073
voc13,4,1.995341091
voc14,4,2.260452611
voc15,4,7.995007275
voc16,4,2.922993748
voc17,4,2.204081262
