ID;population;Gen;Treat;H_E;size_receiver;herbivory_receiver
B3o1;B;3;c;4;3;20
B3o2;B;3;c;3;3;65
B3o3;B;3;c;3;3;70
B14o1;B;14;c;3;2;100
B14o2;B;14;c;3;3;90
B14o3;B;14;c;3;2;75
B24o1;B;24;c;4;4;10
B24o2;B;24;c;4;4;2
B24o3;B;24;c;3;3;20
B28o1;B;28;c;4;3;12
B28o2;B;28;c;3;3;5
B28o3;B;28;c;3;3;30
B30o1;B;30;c;3;3;50
B30o2;B;30;c;4;3;15
B30o3;B;30;c;4;3;65
B37o1;B;37;c;3;3;45
B37o2;B;37;c;3;3;17
B37o3;B;37;c;3;3;40
B53o1;B;53;c;4;3;45
B53o2;B;53;c;3;3;75
B53o3;B;53;c;3;3;75
B56o1;B;56;c;3;3;55
B56o2;B;56;c;3;3;50
B56o3;B;56;c;3;3;45
B57o1;B;57;c;4;4;10
B57o2;B;57;c;4;4;5
B57o3;B;57;c;4;4;3
B60o1;B;60;c;3;3;10
B60o2;B;60;c;4;3;3
B60o3;B;60;c;3;3;37
B61o1;B;61;c;3;2;10
B61o2;B;61;c;3;3;10
B61o3;B;61;c;3;3;20
B3h1;B;3;h;3;4;40
B3h2;B;3;h;3;3;5
B3h3;B;3;h;3;3;75
B14h1;B;14;h;3;2;70
B14h2;B;14;h;4;3;45
B14h3;B;14;h;3;2;47
B24h1;B;24;h;3;3;15
B24h2;B;24;h;3;3;4
B24h3;B;24;h;3;3;0
B28h1;B;28;h;3;3;0
B28h2;B;28;h;3;3;17
B28h3;B;28;h;3;3;25
B30h1;B;30;h;3;3;9
B30h2;B;30;h;3;3;25
B30h3;B;30;h;2;3;32
B37h1;B;37;h;4;4;15
B37h2;B;37;h;4;4;22
B37h3;B;37;h;4;4;20
B53h1;B;53;h;3;3;55
B53h2;B;53;h;3;4;24
B53h3;B;53;h;4;4;50
B56h1;B;56;h;3;4;45
B56h2;B;56;h;4;4;18
B56h3;B;56;h;4;4;35
B57h1;B;57;h;4;4;0
B57h2;B;57;h;4;4;0
B57h3;B;57;h;3;4;11
B60h1;B;60;h;3;3;9
B60h2;B;60;h;4;4;10
B60h3;B;60;h;3;3;14
B61h1;B;61;h;3;3;7
B61h2;B;61;h;3;2;0
B61h3;B;61;h;3;3;37
C1o1;C;1;c;4;4;8
C1o2;C;1;c;3;3;10
C1o3;C;1;c;3;3;25
C5o1;C;5;c;3;3;50
C5o2;C;5;c;3;3;25
C5o3;C;5;c;3;2;30
C8o1;C;8;c;4;4;15
C8o2;C;8;c;3;3;7
C8o3;C;8;c;3;3;20
C13o1;C;13;c;3;2;10
C13o2;C;13;c;3;2;25
C13o3;C;13;c;3;3;10
C15o1;C;15;c;4;3;35
C15o2;C;15;c;3;3;15
C15o3;C;15;c;4;4;5
C19o1;C;19;c;4;3;40
C19o2;C;19;c;4;4;30
C19o3;C;19;c;4;4;25
C26o1;C;26;c;3;3;5
C26o2;C;26;c;3;2;5
C26o3;C;26;c;4;3;8
C30o1;C;30;c;3;2;15
C30o2;C;30;c;4;3;10
C30o3;C;30;c;3;3;20
C34o1;C;34;c;3;3;40
C34o2;C;34;c;3;3;45
C34o3;C;34;c;4;3;50
C43o1;C;43;c;4;4;35
C43o2;C;43;c;4;4;60
C43o3;C;43;c;4;4;45
C45o1;C;45;c;3;3;17
C45o2;C;45;c;3;3;55
C45o3;C;45;c;3;2;65
C50o1;C;50;c;3;3;5
C50o2;C;50;c;4;3;0
C50o3;C;50;c;4;3;15
C55o1;C;55;c;3;3;6
C55o2;C;55;c;3;3;2
C55o3;C;55;c;3;3;12
C61o1;C;61;c;4;4;20
C61o2;C;61;c;4;4;40
C61o3;C;61;c;4;3;55
C64o1;C;64;c;3;3;5
C64o2;C;64;c;4;3;15
C64o3;C;64;c;3;3;65
C1h1;C;1;h;4;4;14
C1h2;C;1;h;3;3;33
C1h3;C;1;h;3;3;27
C5h1;C;5;h;4;4;12
C5h2;C;5;h;3;3;15
C5h3;C;5;h;4;4;28
C8h1;C;8;h;3;4;0
C8h2;C;8;h;4;4;5
C8h3;C;8;h;3;4;16
C13h1;C;13;h;4;4;9
C13h2;C;13;h;4;4;7
C13h3;C;13;h;4;4;25
C15h1;C;15;h;3;4;12
C15h2;C;15;h;4;3;12
C15h3;C;15;h;4;4;7
C19h1;C;19;h;3;3;35
C19h2;C;19;h;3;3;25
C19h3;C;19;h;2;4;15
C26h1;C;26;h;3;3;5
C26h2;C;26;h;4;3;7
C26h3;C;26;h;3;3;9
C30h1;C;30;h;3;4;0
C30h2;C;30;h;3;3;4
C30h3;C;30;h;4;4;6
C34h1;C;34;h;4;4;38
C34h2;C;34;h;4;3;12
C34h3;C;34;h;4;4;22
C43h1;C;43;h;4;4;22
C43h2;C;43;h;4;4;10
C43h3;C;43;h;4;4;18
C45h1;C;45;h;3;3;24
C45h2;C;45;h;3;3;14
C45h3;C;45;h;3;3;6
C50h1;C;50;h;4;4;8
C50h2;C;50;h;3;3;7
C50h3;C;50;h;3;3;15
C55h1;C;55;h;2;2;5
C55h2;C;55;h;3;3;4
C55h3;C;55;h;3;3;14
C61h1;C;61;h;4;4;15
C61h2;C;61;h;4;4;13
C61h3;C;61;h;4;4;16
C64h1;C;64;h;4;4;5
C64h2;C;64;h;4;3;18
C64h3;C;64;h;3;4;9
