"voc_type","treatment","population","response","SE","df","asymp.LCL","asymp.UCL"
"Short-chain oxygenated VOCs","Control","Bon",4.84692994609291,1.16476225742804,Inf,3.02632183099225,7.76279960106873
"Short-chain oxygenated VOCs","Herbivore-induced","Bon",5.59770107208488,1.31206285285247,Inf,3.53585039702522,8.86187303591304
"Short-chain oxygenated VOCs","Control","Cai",4.71521488086112,0.968814239277416,Inf,3.15216463447652,7.05332809381845
"Short-chain oxygenated VOCs","Herbivore-induced","Cai",4.92375459155975,1.00934302174367,Inf,3.29461516383598,7.35847984432837
"Terpenoids","Control","Bon",3.1795642155,0.901373000546768,Inf,1.82415156101972,5.5420990319668
"Terpenoids","Herbivore-induced","Bon",3.35821085071729,0.935744407406901,Inf,1.94502857054794,5.7981565354067
"Terpenoids","Control","Cai",2.48306731237486,0.609502213387796,Inf,1.53479241580142,4.01723595602016
"Terpenoids","Herbivore-induced","Cai",2.93984150039182,0.714074434104425,Inf,1.82629464092908,4.73235142552315
"Esters","Control","Bon",0.891264352914085,0.305676579338181,Inf,0.455061698321165,1.74559219047861
"Esters","Herbivore-induced","Bon",1.2559312248939,0.404963612136174,Inf,0.667580518257526,2.36280598148762
"Esters","Control","Cai",1.33309762432657,0.374173679037592,Inf,0.769036245189394,2.31087843661708
"Esters","Herbivore-induced","Cai",1.26395818522085,0.356665835629877,Inf,0.727008068753559,2.19748633151462
"Benzoates","Control","Bon",0.858345136066584,0.234811828655287,Inf,0.502116331888036,1.46730214856554
"Benzoates","Herbivore-induced","Bon",1.28531197914134,0.322450834281567,Inf,0.786076052231152,2.10161202473377
"Benzoates","Control","Cai",0.87605907360064,0.204129448351014,Inf,0.554876032756267,1.38315489430255
"Benzoates","Herbivore-induced","Cai",0.833398961265651,0.197029165188797,Inf,0.524342388037444,1.32461888354726
"Long-chain aldehydes and alkanes","Control","Bon",3.20114669398895,0.973584018475889,Inf,1.7636992321404,5.81014039678427
"Long-chain aldehydes and alkanes","Herbivore-induced","Bon",4.55447228756781,1.36195911402543,Inf,2.5345255607465,8.1842606519674
"Long-chain aldehydes and alkanes","Control","Cai",3.52141850858337,0.912190208193651,Inf,2.11944388023994,5.85077454902446
"Long-chain aldehydes and alkanes","Herbivore-induced","Cai",4.2666364921022,1.10363355503001,Inf,2.56985602572018,7.0837380668579
