"voc","Bon_Control","Bon_Herbivore-induced","Cai_Control","Cai_Herbivore-induced"
"voc1","-0.62 *","-0.10 ","0.39 ","0.27 "
"voc2","-0.02 ","0.25 ","0.07 ","0.08 "
"voc3","0.02 ","0.25 ","0.17 ","0.12 "
"voc4","-0.74 **","-0.11 ","0.44 ","0.41 "
"voc5","-0.86 ***","-0.89 ***","0.07 ","0.17 "
"voc6","-0.79 **","-0.38 ","0.26 ","0.17 "
"voc7","-0.02 ","0.26 ","0.32 ","0.25 "
"voc8","-0.14 ","0.13 ","0.17 ","0.11 "
"voc9","-0.86 ***","-0.78 **","-0.01 ","0.05 "
"voc10","0.04 ","0.40 ","0.27 ","0.33 "
"voc11","-0.50 ","-0.39 ","0.12 ","0.27 "
"voc12","-0.84 **","-0.86 ***","0.05 ","0.19 "
"voc13","-0.50 ","-0.31 ","0.34 ","0.48 "
"voc14","-0.55 ","-0.57 ","0.27 ","0.33 "
"voc15","-0.46 ","-0.21 ","0.26 ","0.26 "
"voc16","-0.85 ***","-0.80 **","0.21 ","0.26 "
"voc17","-0.52 ","-0.23 ","0.46 ","0.13 "
"total","-0.73 *","-0.47 ","0.15 ","0.24 "
