"voc","Bon_Control_greenhouse_flower_time","Bon_Herbivore-induced_greenhouse_flower_time","Bon_Control_seed_germination","Bon_Herbivore-induced_seed_germination","Cai_Control_greenhouse_flower_time","Cai_Herbivore-induced_greenhouse_flower_time","Cai_Control_seed_germination","Cai_Herbivore-induced_seed_germination"
"voc1","0.81 **","0.48 ","0.25 ","0.05 ","0.07 ","0.01 ","-0.44 ","-0.49 "
"voc2","0.60 ","0.38 ","0.08 ","-0.03 ","0.16 ","0.14 ","-0.50 ","-0.52 *"
"voc3","0.60 ","0.38 ","0.04 ","-0.14 ","0.16 ","0.15 ","-0.45 ","-0.50 "
"voc4","0.65 *","0.42 ","0.27 ","0.13 ","-0.03 ","-0.25 ","-0.28 ","-0.16 "
"voc5","0.51 ","0.39 ","0.26 ","0.27 ","0.23 ","0.21 ","-0.60 *","-0.61 *"
"voc6","0.62 *","0.39 ","0.28 ","0.23 ","0.03 ","0.23 ","-0.48 ","-0.51 "
"voc7","0.68 *","0.33 ","0.14 ","-0.07 ","0.09 ","0.17 ","-0.35 ","-0.54 *"
"voc8","0.73 *","0.39 ","0.30 ","0.19 ","0.29 ","0.26 ","-0.56 *","-0.57 *"
"voc9","0.48 ","0.32 ","0.26 ","0.33 ","0.25 ","0.21 ","-0.64 *","-0.64 *"
"voc10","0.62 *","0.30 ","0.14 ","-0.04 ","0.15 ","0.19 ","-0.36 ","-0.39 "
"voc11","0.75 **","0.38 ","0.29 ","0.28 ","0.09 ","0.16 ","-0.44 ","-0.54 *"
"voc12","0.54 ","0.48 ","0.25 ","0.23 ","0.23 ","0.08 ","-0.64 *","-0.51 "
"voc13","0.70 *","0.42 ","0.29 ","0.15 ","-0.08 ","-0.10 ","-0.28 ","-0.31 "
"voc14","0.64 *","0.50 ","0.26 ","0.20 ","0.12 ","-0.15 ","-0.49 ","-0.38 "
"voc15","0.68 *","0.50 ","0.24 ","0.18 ","0.11 ","-0.08 ","-0.52 *","-0.50 "
"voc16","0.50 ","0.28 ","0.26 ","0.19 ","0.03 ","0.15 ","-0.46 ","-0.57 *"
"voc17","0.67 *","0.48 ","0.26 ","0.26 ","0.12 ","-0.12 ","-0.51 ","-0.52 *"
"total","0.67 *","0.54 ","0.27 ","0.22 ","0.17 ","0.08 ","-0.59 *","-0.58 *"
